org_id,orgname,resolution_type,top_realcode,top_realcode_share,top_realcode_name,assigned_naics3,assigned_naics3_name,assignment_method,assignment_confidence,n_candidates,candidates_list,is_ideology,is_party,is_labor_union,is_public_employee,is_nonprofit,is_lobbyist,no_realcode,llm_model_1,llm_naics3_1,llm_confidence_1,llm_reasoning_1,llm_model_2,llm_naics3_2,llm_confidence_2,llm_reasoning_2,llm_model_3,llm_naics3_3,llm_confidence_3,llm_reasoning_3,llm_consensus,llm_rounds
d2602bfe,senate majority pac; senate majority pac; ab pac,ENTITY_RESOLVED,J1200,0.9459352430467162,,,,special_code,,0,,True,False,False,False,False,False,False,,,,,,,,,,,,,,
b1b3c22e,democratic congressional campaign cmte; democratic congressional campaign cmte,ENTITY_RESOLVED,Z5200,0.98460097751273,,,,special_code,,0,,False,True,False,False,False,False,False,,,,,,,,,,,,,,
578530f9,national republican congressional cmte; republican national cmte; national republican congressional cmte,ENTITY_RESOLVED,Z5100,0.8590339125183754,,,,special_code,,0,,False,True,False,False,False,False,False,,,,,,,,,,,,,,
549bf267,senate leadership fund; senate leadership fund,ENTITY_RESOLVED,J1100,0.917441817422004,,,,special_code,,0,,True,False,False,False,False,False,False,,,,,,,,,,,,,,
46683701,democratic senatorial campaign cmte; democratic senatorial campaign cmte,ENTITY_RESOLVED,Z5200,0.9014799499666288,,,,special_code,,0,,False,True,False,False,False,False,False,,,,,,,,,,,,,,
34564fa0,congressional leadership fund; congressional leadership fund,ENTITY_RESOLVED,J1100,0.9893601812460988,,,,special_code,,0,,True,False,False,False,False,False,False,,,,,,,,,,,,,,
6313ac18,national republican senatorial cmte; national republican senatorial cmte,ENTITY_RESOLVED,Z5100,0.8378638902233462,,,,special_code,,0,,False,True,False,False,False,False,False,,,,,,,,,,,,,,
9583d446,house majority pac; house majority pac,ENTITY_RESOLVED,J1200,0.9669476615383802,,,,special_code,,0,,True,False,False,False,False,False,False,,,,,,,,,,,,,,
ba58f059,priorities usa/priorities usa action; priorities usa; priorities usa action,ENTITY_RESOLVED,J1200,0.9357183253194186,,,,special_code,,0,,True,False,False,False,False,False,False,,,,,,,,,,,,,,
56c76fbf,attorney; us attorney's office; physician attorney,INDUSTRY_ONLY,K1000,0.9798301536664022,Attorneys & law firms,541,Professional Services,hardcoded,HIGH,0,,False,False,False,False,False,False,False,,,,,,,,,,,,,,
7a545da0,american crossroads/crossroads gps; american crossroads,ENTITY_RESOLVED,J1100,0.9910889551430262,,,,special_code,,0,,True,False,False,False,False,False,False,,,,,,,,,,,,,,
fc867736,homemaker,INDUSTRY_ONLY,Y1000,0.988132382574474,,,,special_code,,0,,False,False,False,False,False,False,False,,,,,,,,,,,,,,
f8cbcfab,investor; private investor; real estate investor,INDUSTRY_ONLY,F7000,0.8883064341288629,Investors,523,Commodity Contracts Dealing,deterministic,HIGH,1,,False,False,False,False,False,False,False,,,,,,,,,,,,,,
cf3ab3db,physician; physician-led healthcare for america; american academy of physician assistants,INDUSTRY_ONLY,H1100,0.9855953222274056,Physicians,621,Offices of Physicians (except Mental Health Specialists),deterministic,HIGH,1,,False,False,False,False,False,False,False,,,,,,,,,,,,,,
12e79906,national rifle assn; national rifle assn,ENTITY_RESOLVED,J6200,0.9977449739395214,,,,special_code,,0,,True,False,False,False,False,False,False,,,,,,,,,,,,,,
140b3350,democratic national cmte; democratic national cmte; national democratic redistricting cmte,ENTITY_RESOLVED,Z5200,0.9465318711661704,,,,special_code,,0,,False,True,False,False,False,False,False,,,,,,,,,,,,,,
ab32506e,fahr llc/tom steyer; fahr llc,ENTITY_RESOLVED,JE300,0.9531228888324011,,,,special_code,,0,,True,False,False,False,False,False,False,,,,,,,,,,,,,,
e25b06dc,soros fund management; management,ENTITY_RESOLVED,F2700,0.9942777916194592,Hedge Funds,5,,deterministic,HIGH,1,,False,False,False,False,False,False,False,,,,,,,,,,,,,,
40f3f56d,unemployed,ENTITY_RESOLVED,Y1000,0.978528156287646,,,,special_code,,0,,False,False,False,False,False,False,False,,,,,,,,,,,,,,
a8f29da1,club for growth; club for growth; club for growth,ENTITY_RESOLVED,J1100,0.9858506909744956,,,,special_code,,0,,True,False,False,False,False,False,False,,,,,,,,,,,,,,
aaa15cd2,service employees international union; service employees international union; service employees international union,ENTITY_RESOLVED,LG300,0.8805364127848035,,813,,llm_assigned,,0,,False,False,True,False,False,False,False,anthropic/claude-haiku-4.5,813.0,HIGH,"Service Employees International Union is a labor union organization, which falls under NAICS 813 (Membership organizations and associations), specifically labor unions and similar organizations.",deepseek/deepseek-v3.2,813.0,HIGH,"The organization is a labor union, which falls under NAICS subsector 813 for labor organizations.",google/gemini-3-flash-preview,813.0,HIGH,"The Service Employees International Union (SEIU) is a labor organization, which falls directly under NAICS 813 (Religious, Grantmaking, Civic, Professional, and Similar Organizations), specifically within the subsector for labor unions.",UNANIMOUS,1.0
8484be17,americans for prosperity; americans for shared prosperity,ENTITY_RESOLVED,J1100,0.9999976268899454,,,,special_code,,0,,True,False,False,False,False,False,False,,,,,,,,,,,,,,
ef60eff5,"bloomberg lp; city of new york, ny/bloomberg",ENTITY_RESOLVED,F5500,0.8197138672009637,Other financial services,523,,deterministic,HIGH,1,,False,False,False,False,False,False,False,,,,,,,,,,,,,,
10b9f2b3,national assn of realtors; national assn of realtors; national assn of realtors congressional fund,ENTITY_RESOLVED,F4200,0.9728954851047344,Real estate agents,531,Lessors of Residential Buildings and Dwellings,deterministic,HIGH,1,,False,False,False,False,False,False,False,,,,,,,,,,,,,,
4c8b4de7,american federation of state/cnty/munic employees; american federation of state/cnty/munic employees,ENTITY_RESOLVED,L1200,0.9853004274179866,State & local govt employee unions,813,,llm_assigned,,1,813,False,False,True,False,False,False,False,anthropic/claude-haiku-4.5,813.0,HIGH,"American Federation of State/County/Municipal Employees is a labor union organization that falls under NAICS 813 (Membership Organizations and Associations), specifically membership organizations.",deepseek/deepseek-v3.2,813.0,HIGH,"The organization is a public sector labor union, and NAICS 813 (Labor Unions and Similar Labor Organizations) is the direct and standard classification for this type of entity.",google/gemini-3-flash-preview,813.0,HIGH,"The organization is a labor union representating public employees, which falls under NAICS code 813312 or more broadly 813930 (Labor Organizations) within the 813 subsector.",UNANIMOUS,1.0
9a8f15dc,league of conservation voters; league of conservation voters; virginia league of conservation voters,ENTITY_RESOLVED,JE300,0.9918288210370624,,,,special_code,,0,,True,False,False,False,False,False,False,,,,,,,,,,,,,,
d30c4751,adelson clinic for drug abuse treatment & research,ENTITY_RESOLVED,H3200,0.9993499673014034,Outpatient health services (incl drug & alcohol),621,Kidney Dialysis Centers,deterministic,HIGH,1,,False,False,False,False,False,False,False,,,,,,,,,,,,,,
54081c4c,las vegas sands; las vegas sands,ENTITY_RESOLVED,G6500,0.9999801317859348,"Casinos, racetracks & gambling",711,Racetracks,deterministic,HIGH,1,,False,False,False,False,False,False,False,,,,,,,,,,,,,,
9997cc72,uline inc,ENTITY_RESOLVED,M7000,0.9999503558812202,"Paper, glass & packaging materials",424,,llm_assigned,,3,322|424|314,False,False,False,False,False,False,False,anthropic/claude-haiku-4.5,424.0,HIGH,"Uline Inc is a major distributor and wholesaler of packaging materials, paper products, and supplies to businesses, which aligns with Industrial and Personal Service Paper Merchant Wholesalers rather than manufacturing or textile mills.",deepseek/deepseek-v3.2,424.0,HIGH,"Uline Inc is a major distributor of shipping, industrial, and packaging materials, which aligns directly with the NAICS-3 code for Industrial and Personal Service Paper Merchant Wholesalers.",google/gemini-3-flash-preview,424.0,HIGH,"Uline is primarily a distributor of shipping, industrial, and packaging materials, aligning with merchant wholesalers of paper and industrial supplies.",UNANIMOUS,1.0
8118c7cd,america first; america's families first; america first policies,ENTITY_RESOLVED,J1100,0.8965407560371601,,,,special_code,,0,,True,False,False,False,False,False,False,,,,,,,,,,,,,,
df1be782,emily's list; emily's list; emily's list non-federal,ENTITY_RESOLVED,J7400,0.9743613554490856,,,,special_code,,0,,True,False,False,False,False,False,False,,,,,,,,,,,,,,
d3370ce7,consultant; business consultant; management consultant,INDUSTRY_ONLY,G5200,0.8044373996605796,Business services,541,,llm_assigned,,3,541|561|312,False,False,False,False,False,False,False,anthropic/claude-haiku-4.5,,ERROR,Expecting value: line 1 column 1 (char 0),openai/gpt-5.2,541.0,HIGH,"A business/management consulting organization best fits NAICS 541 (Professional, Scientific, and Technical Services), not document preparation (561) or tobacco manufacturing (312).",google/gemini-3-flash-preview,541.0,HIGH,"Management and business consulting services are formally categorized under NAICS 541 (Professional, Scientific, and Technical Services).",MAJORITY,1.0
ff7aded6,future forward usa; future forward usa action; future forward usa,ENTITY_RESOLVED,J1200,1.0,,,,special_code,,0,,True,False,False,False,False,False,False,,,,,,,,,,,,,,
f11aefd9,restore our future; restore our future,ENTITY_RESOLVED,J1100,0.997192929978705,,,,special_code,,0,,True,False,False,False,False,False,False,,,,,,,,,,,,,,
2b689a0a,independence usa pac,ENTITY_RESOLVED,J1200,0.999865063211079,,,,special_code,,0,,True,False,False,False,False,False,False,,,,,,,,,,,,,,
a14e123c,newsweb corp,ENTITY_RESOLVED,C1100,0.999561681986442,"Book, newspaper & periodical publishing",511,,llm_assigned,,4,511|323|424|519,False,False,False,False,False,False,False,anthropic/claude-haiku-4.5,,ERROR,Expecting value: line 1 column 1 (char 0),openai/gpt-5.2,511.0,HIGH,"Newsweb Corp’s activity is overwhelmingly categorized as book/newspaper/periodical publishing, and its name suggests a news publisher rather than printing, wholesaling, or syndication, making NAICS 511 the best fit.",google/gemini-3-flash-preview,511.0,HIGH,"The organization's name and the CRP catcode specifically align with the publishing of newspapers and periodicals, which is a core component of NAICS 511.",MAJORITY,1.0
b68585bc,renaissance technologies,ENTITY_RESOLVED,F2700,0.9984955910723816,Hedge Funds,5,,deterministic,HIGH,1,,False,False,False,False,False,False,False,,,,,,,,,,,,,,
4a75f3b9,citadel llc; citadel investment group,ENTITY_RESOLVED,F2700,0.9999262022715416,Hedge Funds,5,,deterministic,HIGH,1,,False,False,False,False,False,False,False,,,,,,,,,,,,,,
039f5169,"trump make america great again cmte; make america great again inc; make america great again, again!",ENTITY_RESOLVED,Z9600,0.8770568943147222,,,,special_code,,0,,False,True,False,False,False,False,False,,,,,,,,,,,,,,
86ea646e,afl-cio; afl-cio; california labor federation afl-cio,ENTITY_RESOLVED,L0000,0.9368868625445824,Labor Unions,813,,llm_assigned,,1,813,False,False,True,False,False,False,False,anthropic/claude-haiku-4.5,813.0,HIGH,"AFL-CIO and California Labor Federation are explicitly labor union organizations with 93.7% of contributions classified as L0000 (Labor Unions), directly mapping to NAICS 813: Labor Unions and Similar Labor Organizations.",deepseek/deepseek-v3.2,813.0,HIGH,"The organization's name (afl-cio) and its dominant CRP classification (L0000) clearly identify it as a labor union, which maps directly to NAICS code 813 - Labor Unions and Similar Labor Organizations.",google/gemini-3-flash-preview,813.0,HIGH,"The AFL-CIO is the quintessential labor federation, and its dominant CRP category L0000 directly maps to NAICS 813 (Religious, Grantmaking, Civic, Professional, and Similar Organizations), which includes labor unions.",UNANIMOUS,1.0
30bbb395,preserve america pac,ENTITY_RESOLVED,J1100,0.999498578848966,,,,special_code,,0,,True,False,False,False,False,False,False,,,,,,,,,,,,,,
26762e88,national education assn; national education assn; education,ENTITY_RESOLVED,L1300,0.9851362299113212,Teachers unions,813,,llm_assigned,,1,813,False,False,True,False,False,False,False,anthropic/claude-haiku-4.5,813.0,HIGH,"National Education Association is a teachers union and membership organization that falls under NAICS 813 (Membership Organizations and Associations), specifically for labor unions and professional associations.",deepseek/deepseek-v3.2,813.0,HIGH,"The organization name and the CRP Catcode 'Teachers unions' directly align with the NAICS-3 code 813 (Religious, Grantmaking, Civic, Professional, and Similar Organizations), which specifically includes Labor Unions.",google/gemini-3-flash-preview,813.0,HIGH,"The National Education Association is a large labor union representing teachers, which falls under NAICS 813930 (Labor Organizations) within the 813 subsector.",UNANIMOUS,1.0
975a67e2,writer; freelance writer; financial writer,INDUSTRY_ONLY,C1100,0.9612467861345324,"Book, newspaper & periodical publishing",511,,llm_assigned,,4,511|323|424|519,False,False,False,False,False,False,False,anthropic/claude-haiku-4.5,511.0,HIGH,"Freelance and financial writers are independent content creators who produce written material for publication, which aligns directly with Periodical Publishers (511) as the primary market for their work, and the 96.1% concentration in C1100 confirms publishing-related activity.",deepseek/deepseek-v3.2,511.0,HIGH,"The organization describes a writer in the publishing industry, which directly aligns with NAICS 511 (Publishing Industries), not the printing or wholesaling of published materials.",google/gemini-3-flash-preview,511.0,HIGH,"The organization's description as writers and financial writers aligns with the publishing industry's content creation function, specifically under Periodical and Book Publishers.",UNANIMOUS,1.0
1b03480d,save america jfc; save america; save america jfc,ENTITY_RESOLVED,Z9600,0.971908526201776,,,,special_code,,0,,False,True,False,False,False,False,False,,,,,,,,,,,,,,
af097be5,one nation; one nation united,ENTITY_RESOLVED,J1100,0.9903859488859118,,,,special_code,,0,,True,False,False,False,False,False,False,,,,,,,,,,,,,,
70e78faf,donald j trump for president; president,ENTITY_RESOLVED,Z9600,0.9273981893389072,,,,special_code,,0,,False,True,False,False,False,False,False,,,,,,,,,,,,,,
a238c073,republican governors assn; republican governors assn,ENTITY_RESOLVED,Z5100,0.9004509578048031,,,,special_code,,0,,False,True,False,False,False,False,False,,,,,,,,,,,,,,
289d21d5,right to rise usa,ENTITY_RESOLVED,J1100,0.9994244116548904,,,,special_code,,0,,True,False,False,False,False,False,False,,,,,,,,,,,,,,
8a35bb40,elliott management,INDUSTRY_ONLY,F2700,0.999529372856173,Hedge Funds,5,,deterministic,HIGH,1,,False,False,False,False,False,False,False,,,,,,,,,,,,,,
5948a354,votevets.org; votevets.org,ENTITY_RESOLVED,JD200,0.999991409062256,,,,special_code,,0,,True,False,False,False,False,False,False,,,,,,,,,,,,,,
1e861099,majority forward; house majority forward,ENTITY_RESOLVED,J1200,1.0,,,,special_code,,0,,True,False,False,False,False,False,False,,,,,,,,,,,,,,
63f6b359,blackstone group,ENTITY_RESOLVED,F2600,0.9734674817300852,Private Equity & Investment Firms,523,,deterministic,HIGH,1,,False,False,False,False,False,False,False,,,,,,,,,,,,,,
f35fc726,american action network,ENTITY_RESOLVED,J1100,1.0,,,,special_code,,0,,True,False,False,False,False,False,False,,,,,,,,,,,,,,
989788e9,paloma partners,ENTITY_RESOLVED,F2700,0.9981758121116006,Hedge Funds,5,,deterministic,HIGH,1,,False,False,False,False,False,False,False,,,,,,,,,,,,,,
abb8a489,planned parenthood; planned parenthood action fund; planned parenthood votes,ENTITY_RESOLVED,J7150,0.9791355838195668,,,,special_code,,0,,True,False,False,False,False,False,False,,,,,,,,,,,,,,
7e85c0d8,carpenters & joiners union; carpenters & joiners union,ENTITY_RESOLVED,LB100,0.9874833058666592,Building trades unions,813,,llm_assigned,,1,2,False,False,True,False,False,False,False,anthropic/claude-haiku-4.5,238.0,HIGH,"Carpenters & joiners union is a building trades union representing workers in specialty trade contracting, specifically carpentry and joinery work classified under NAICS 238 (Specialty Trade Contractors).",deepseek/deepseek-v3.2,236.0,HIGH,"The organization is a building trades union for carpenters and joiners, whose members perform residential and non-residential construction, directly aligning with NAICS 236 (Construction of Buildings).",google/gemini-3-flash-preview,813.0,HIGH,"The organization is a labor union for carpenters and joiners, which falls under NAICS 813930 (Labor Organizations) within the 3-digit code 813.",MAJORITY_R2,2.0
c22748b1,susquehanna international group,ENTITY_RESOLVED,F2100,0.9992258980861436,Security brokers & investment companies,523,,llm_assigned,,2,523|525,False,False,False,False,False,False,False,anthropic/claude-haiku-4.5,523.0,HIGH,"Susquehanna International Group is a major proprietary trading and investment firm known for securities dealing and trading operations, not fund management, making 523 (Investment Banking and Securities Dealing) the appropriate classification.",deepseek/deepseek-v3.2,523.0,HIGH,"Susquehanna International Group is known for quantitative trading and market making, fitting securities dealing under NAICS 523 rather than open-end funds.",google/gemini-3-flash-preview,523.0,HIGH,"Susquehanna International Group (SIG) is a premier global proprietary trading and market making firm, which aligns directly with Securities Dealing (523) rather than mutual fund management (525).",UNANIMOUS,1.0
84dd72fa,artist; recording artist; visual artist,INDUSTRY_ONLY,X0000,0.9226403201350764,Other,813,Religious Organizations,deterministic,HIGH,1,,False,False,False,False,False,False,False,,,,,,,,,,,,,,
